code,parent_code,name,medical_reasoning
"3A01.3,3A01,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify macrocytic anemia typically associated with Vitamin B12 deficiency. However, the absence of direct measures of Vitamin B12 levels or intrinsic factor status limits the specificity of the screening. Nonetheless, the hematological features can still provide a reasonable basis for screening and triaging patients for further evaluation."
"3A01.30,3A01,Pernicious anaemia",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia typical of pernicious anemia. However, the absence of vitamin B12 levels or intrinsic factor antibodies limits definitive screening."
"3A01.3Y,3A01,Other specified vitamin B12 deficiency anaemia due to intrinsic factor deficiency",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify macrocytic anemia typically associated with vitamin B12 deficiency. However, the absence of direct measures of vitamin B12 levels or intrinsic factor status limits the specificity of the screening. Nonetheless, the combination of these hematological features can provide a reasonable basis for screening and likelihood assessment."
"3A01.4,3A01,Vitamin B12 deficiency anaemia due to intestinal disease",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can indicate macrocytic anemia typically associated with Vitamin B12 deficiency. Additionally, the presence of iron levels (LBXIR) can help differentiate between types of anemia. However, the absence of specific markers for Vitamin B12 levels (e.g., serum B12 or methylmalonic acid) limits the precision of the screening."
"3A01.5,3A01,Drug-induced vitamin B12 deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. Additionally, the presence of demographic data (age, gender) allows for stratification of risk. However, the absence of vitamin B12 levels or related metabolic markers limits the specificity of the screening for drug-induced vitamin B12 deficiency anemia. Nonetheless, the hematological features can still provide a reasonable basis for assessing anemia likelihood."
"3A01.Y,3A01,Other specified megaloblastic anaemia due to vitamin B12 deficiency",,,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can indicate megaloblastic anemia. However, the absence of vitamin B12 levels or methylmalonic acid, which are critical for confirming vitamin B12 deficiency, limits the specificity of the assessment. Nonetheless, the available features can still provide a reasonable screening framework for identifying potential cases of megaloblastic anemia."
"3A01.Z,3A01,""Megaloblastic anaemia due to vitamin B12 deficiency, unspecified,""",,,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify megaloblastic anemia. However, the absence of vitamin B12 levels or methylmalonic acid, which are critical for definitive diagnosis, limits the specificity of the screening. Nonetheless, the available features can still provide a reasonable basis for screening and likelihood assessment."
"3A02.0,3A02,Hereditary folate deficiency anaemia",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia indicative of folate deficiency. However, the absence of direct folate level measurements limits specificity."
"3A02.1,3A02,Folate deficiency anaemia due to low intake",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia and suggest folate deficiency. However, direct measurement of folate levels is not included, which is essential for definitive diagnosis. Nonetheless, the available features can still provide a reasonable screening framework for assessing likelihood based on anemia indicators."
"3A02.2,3A02,Folate deficiency anaemia due to increased requirements",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can assist in stratifying risk. However, the absence of direct measures of folate levels or dietary intake limits the specificity of screening for folate deficiency anemia."
"3A02.3,3A02,Folate deficiency anaemia due to decreased intestinal absorption",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can assist in stratifying risk. However, the absence of direct measures of folate levels or specific absorption tests limits the precision of the screening."
"3A02.4,3A02,Drug-induced folate deficiency anaemia",,,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia. Additionally, the presence of iron levels (LBXSI) can assist in differentiating between types of anemia, including drug-induced folate deficiency anemia. However, specific folate levels are not listed, which could limit the precision of the assessment."
"3A02.Y,3A02,Other specified folate deficiency anaemia",,,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia associated with folate deficiency. However, the absence of direct folate level measurements limits specificity."
"3A02.Z,3A02,""Folate deficiency anaemia, unspecified""",,,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia associated with folate deficiency. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can enhance the screening model. However, direct measurement of folate levels is missing, which is essential for definitive diagnosis. Nonetheless, the available features can still provide a reasonable screening framework."
"3A03.1,3A03,Protein deficiency anaemia",,,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and total protein (LBXSTP) are available, which can help assess protein deficiency anemia. These features can provide sufficient data to evaluate anemia and its potential causes, allowing for a meaningful screening approach."
"3A03.2,3A03,Scorbutic anaemia",,,"Scorbutic anemia is primarily due to vitamin C deficiency, which can lead to anemia characterized by low hemoglobin and hematocrit levels. The available features include hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for assessing anemia. However, the absence of direct measures of vitamin C levels or dietary intake limits the ability to fully assess the likelihood of scorbutic anemia specifically. Nonetheless, the hematological features allow for a preliminary screening for anemia."
"3A03.4,3A03,Acquired other vitamin B deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. Additionally, iron levels (LBXIR) can assist in differentiating types of anemia, including vitamin B deficiency. However, specific vitamin B levels (e.g., B12, folate) are not listed, which limits the ability to confirm the deficiency directly. Nonetheless, the combination of hematological features allows for a reasonable screening approach for anemia, including acquired vitamin B deficiency."
"3A03.40,3A03,Acquired pyridoxine deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. Additionally, iron levels (LBXIR) can provide insights into nutritional deficiencies, including pyridoxine deficiency. However, direct measurement of pyridoxine levels is not available, which limits specificity. Nonetheless, the combination of these features allows for a reasonable screening approach for acquired pyridoxine deficiency anemia."
"3A03.41,3A03,Acquired riboflavin deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI), which can help identify anemia. Additionally, iron levels (LBXIR) can provide insights into nutritional deficiencies, including riboflavin deficiency. However, specific riboflavin levels are not available, which limits direct assessment. Nonetheless, the combination of these hematological features allows for a reasonable screening approach for anemia, including acquired riboflavin deficiency."
"3A03.42,3A03,Acquired thiamine deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. Additionally, the presence of iron levels (LBXIR) can assist in differentiating types of anemia, including thiamine deficiency. However, direct measurement of thiamine levels is not available, which is a limitation for definitive diagnosis but does not preclude screening for anemia."
"3A03.4Y,3A03,Other specified acquired other vitamin B deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, iron levels (LBXSI) can help differentiate between types of anemia, including those related to vitamin B deficiencies. However, specific vitamin B levels (e.g., B12, folate) are not listed, which limits the ability to confirm the deficiency type directly. Nonetheless, the existing features can still provide a reasonable basis for screening and assessing likelihood."
"3A03.6,3A03,Acquired vitamin E deficiency anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI), which can help identify anemia. Additionally, the presence of iron levels (LBXIR) can assist in differentiating types of anemia, including vitamin E deficiency anemia, as it can lead to hemolysis and other hematological changes. However, the absence of direct measures of vitamin E levels or specific markers for oxidative stress limits the precision of the screening."
"3A03.Y,3A03,Other and unspecified nutritional or metabolic anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening various types of anemia, including nutritional or metabolic anemia. Additionally, iron levels (LBXIR) can help assess iron deficiency anemia, a common cause of nutritional anemia."
"3A10.0,3A10,Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. These features can be used to screen for hemolytic anemias due to metabolic anomalies."
"3A10.00,3A10,Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency",,,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and total bilirubin (LBXSTB) are available, which can indicate hemolysis and support screening for G6PD deficiency. However, the absence of G6PD enzyme activity testing limits definitive diagnosis but does not preclude screening based on hematological parameters."
"3A10.0Y,3A10,Other specified haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which are essential for screening hemolytic anemias. Additionally, total bilirubin (LBXSTB) can indicate hemolysis. However, specific markers for hexose monophosphate shunt or glutathione metabolism anomalies are not included, which may limit specificity. Nonetheless, the combination of these features allows for a reasonable assessment of hemolytic anemia likelihood."
"3A10.0Z,3A10,""Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies, unspecified""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which are essential for screening hemolytic anemias. Additionally, total bilirubin (LBXSTB) can indicate hemolysis. These features can help assess the likelihood of hemolytic anemia due to metabolic anomalies."
"3A10.1,3A10,Haemolytic anaemia due to adenosine deaminase excess",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. These features can be used to build a probabilistic model for screening hemolytic anemia due to adenosine deaminase excess."
"3A10.2,3A10,Hereditary elliptocytosis",,,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify the characteristic microcytic anemia and elliptocytosis associated with hereditary elliptocytosis."
"3A10.Y,3A10,Other specified hereditary haemolytic anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which can indicate hemolysis. These features can help in screening for hereditary hemolytic anemia by assessing anemia severity and signs of hemolysis, thus allowing for a meaningful assessment of disease likelihood."
"3A10.Z,3A10,""Hereditary haemolytic anaemia, unspecified""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening hereditary hemolytic anemia. Additionally, lactate dehydrogenase (LBXSLDSI) and total bilirubin (LBXSTB) can indicate hemolysis. However, genetic testing or specific markers for certain types of hereditary hemolytic anemia are not available, but the existing features can still provide a reasonable basis for screening."
"3A20.0,3A20,""Autoimmune haemolytic anaemia, warm type""",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. These features can be used to screen for autoimmune hemolytic anemia effectively."
"3A20.1,3A20,""Autoimmune haemolytic anaemia, cold type""",,,"Key features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) can indicate hemolysis, while total bilirubin (LBXSTB) can suggest increased breakdown of red blood cells, which are relevant for screening autoimmune hemolytic anemia."
"3A20.2,3A20,""Autoimmune haemolytic anaemia, mixed type, cold and warm""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which are critical for assessing hemolysis. Additionally, total bilirubin (LBXSTB) can indicate hemolytic processes. These features can help in screening for autoimmune hemolytic anemia by evaluating anemia and hemolysis indicators, thus allowing for a meaningful assessment of disease likelihood."
"3A20.4,3A20,Alloimmune haemolytic anaemia",,,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. However, the absence of direct markers for alloimmunity (e.g., direct Coombs test) limits specificity. Overall, a probabilistic model can be constructed using available features to screen for the likelihood of alloimmune hemolytic anemia."
"3A20.5,3A20,Evans syndrome",,,"Evans syndrome is characterized by autoimmune hemolytic anemia and thrombocytopenia. The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify abnormalities consistent with this syndrome. However, the absence of direct measures of autoantibodies or specific markers for hemolysis limits the specificity of the assessment. Nonetheless, the combination of these hematological features allows for a reasonable screening approach."
"3A20.Y,3A20,""Other specified acquired haemolytic anaemia, immune""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), total bilirubin (LBXSTB), and lactate dehydrogenase (LBXSLDSI), which are essential for screening hemolytic anemia. These features can help identify signs of hemolysis and anemia, thus allowing for a meaningful assessment of the likelihood of immune-mediated hemolytic anemia."
"3A21.1,3A21,Microangiopathic haemolytic anaemia",,,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), lactate dehydrogenase (LBXSLDSI), and total bilirubin (LBXSTB) are available, which can indicate hemolysis and anemia. These features can help in screening for microangiopathic hemolytic anemia by assessing for signs of hemolysis and anemia, thus allowing for a meaningful likelihood assessment."
"3A21.Y,3A21,""Other specified acquired haemolytic anaemia, non-immune""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which are essential for screening hemolytic anemia. Additionally, total bilirubin (LBXSTB) can indicate hemolysis. These features can help assess the likelihood of non-immune acquired hemolytic anemia effectively."
"3A50.0,3A50,Alpha thalassaemia",,,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can help identify microcytic anemia typical of alpha thalassemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters."
"3A50.00,3A50,Mild alpha thalassaemia diseases",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening alpha thalassemia. These features can help identify microcytic anemia and other hematological abnormalities associated with the disease."
"3A50.01,3A50,Thalassaemic alpha-chain variants",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening thalassemia. These features can help identify microcytic anemia and abnormal red cell indices typically associated with alpha-chain variants of thalassemia."
"3A50.02,3A50,Haemoglobin H disease (- alpha / -- included)",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia and other abnormalities associated with Hemoglobin H disease."
"3A50.03,3A50,Homozygous or compound heterozygous alpha0 thalassaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening thalassemia. These features can help identify microcytic anemia and other hematological abnormalities associated with alpha thalassemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does not preclude screening."
"3A50.0Y,3A50,Other specified alpha thalassaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening alpha thalassemia. These features can help identify microcytic anemia and other hematological abnormalities associated with the disease. However, genetic testing or specific hemoglobin electrophoresis results, which are critical for definitive diagnosis, are not available."
"3A50.0Z,3A50,""Alpha thalassaemia, unspecified""",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia."
"3A50.1,3A50,Alpha thalassaemia related syndromes",,,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia. These features can be used to screen for the disease effectively."
"3A50.2,3A50,Beta thalassaemia",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of beta thalassemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters."
"3A50.3,3A50,""Delta, delta-beta or gamma-delta-beta thalassaemia""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening thalassemia. These features can help identify microcytic anemia and abnormal red cell indices typically associated with thalassemia."
"3A50.4,3A50,Hereditary persistence of fetal haemoglobin",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI), which can help identify elevated fetal hemoglobin levels indicative of hereditary persistence of fetal hemoglobin. However, genetic testing or specific fetal hemoglobin quantification is not available, but the existing features can still provide a reasonable basis for screening."
"3A50.Y,3A50,Other specified thalassaemias",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify thalassemia through microcytic anemia and other red blood cell indices. However, genetic testing or specific hemoglobin electrophoresis results, which are critical for definitive diagnosis, are not included."
"3A50.Z,3A50,""Thalassaemias, unspecified""",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify thalassemia through characteristic microcytic anemia and altered red cell indices."
"3A51.1,3A51,Sickle cell disease without crisis",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and hematocrit (LBXHCT) are available, which can indicate anemia and other abnormalities associated with sickle cell disease. Additionally, age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk. However, genetic testing or specific markers for sickle cell trait (e.g., hemoglobin electrophoresis) are not available, but the existing features can still provide a reasonable screening framework."
"3A51.2,3A51,Sickle cell disease with crisis",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolysis and anemia associated with sickle cell disease. Additionally, the presence of age and gender data allows for stratification of risk. However, the absence of specific genetic markers or hemoglobin electrophoresis limits definitive diagnosis but does not preclude screening for likelihood assessment."
"3A51.5,3A51,Haemoglobin C disease",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Hemoglobin C disease."
"3A51.6,3A51,Haemoglobin D disease",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Hemoglobin D disease."
"3A51.8,3A51,Low affinity haemoglobin",,,"The available features include hemoglobin levels (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI), which are critical for assessing low affinity hemoglobin conditions. These parameters can help identify abnormalities in red blood cell function and oxygen transport, thus enabling screening for low affinity hemoglobin disorders."
"3A51.9,3A51,Haemoglobin O disease",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI) are available, which can help identify abnormalities associated with Hemoglobin O disease. These features can be used to screen for the disease by assessing hemoglobin variants and red cell indices, thus allowing for a meaningful assessment of disease likelihood."
"3A51.A,3A51,Haemoglobin E disease",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Hemoglobin E disease."
"3A51.B,3A51,Haemoglobin C/beta thalassaemia compound heterozygosity",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify abnormalities associated with hemoglobin C/beta thalassemia. These features can be used to screen for the disease by assessing the presence of microcytic anemia and other hematological changes typical of thalassemia syndromes."
"3A51.Y,3A51,Other specified sickle cell disorders or other haemoglobinopathies",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening sickle cell disorders and other hemoglobinopathies. These features can help identify anemia and abnormal red blood cell morphology indicative of such conditions."
"3A51.Z,3A51,""Sickle cell disorders or other haemoglobinopathies, unspecified""",,,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with sickle cell disorders. These features can be used to screen for anemia and abnormal hemoglobin profiles indicative of hemoglobinopathies."
"3A60.0,3A60,Congenital non-inherited pure red cell aplasia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening pure red cell aplasia. These features can help identify significant anemia and abnormal red cell indices, which are indicative of the condition."
