code,parent_code,name,medical_reasoning
3B64.13,3B64,Alloimmune thrombocytopenia,"Alloimmune thrombocytopenia requires specific markers such as platelet antibodies or specific genetic testing to assess the immune response against platelets, which are not available in the listed features."
3B64.14,3B64,Thrombotic thrombocytopenic purpura,"Key diagnostic features for thrombotic thrombocytopenic purpura (TTP) such as ADAMTS13 activity and inhibitor levels are missing. While platelet count and LDH levels can indicate thrombocytopenia and hemolysis, they are not sufficient for screening or likelihood assessment of TTP without the essential ADAMTS13 testing."
3B65,3B65,"(Thrombotic microangiopathy, not elsewhere classified)","Key signals for thrombotic microangiopathy, such as ADAMTS13 activity, anti-ADAMTS13 antibodies, and specific imaging studies, are not available. The listed features do not provide sufficient hematological or biochemical markers to effectively screen for this condition."
3B6Y,3B6Y,"(Other specified coagulation defects, purpura or other haemorrhagic or related conditions)","Key signals for screening coagulation defects, such as specific coagulation factor levels (e.g., factor VIII, factor IX), platelet function tests, and genetic markers, are missing. The available features do not provide sufficient information to assess bleeding risk or coagulation status effectively."
3B80.0,3B80,Splenomegaly in storage diseases,"Key signals for screening splenomegaly in storage diseases, such as imaging studies (ultrasound, CT) and specific biomarkers (e.g., enzyme levels for lysosomal storage diseases), are missing. The available hematological features do not provide sufficient specificity or sensitivity for this condition."
3B81.0,3B81,Tumour-like conditions of spleen,"Tumour-like conditions of the spleen require imaging studies (e.g., ultrasound, CT scan) or specific biomarkers (e.g., tumor markers) for diagnosis, which are not included in the available NHANES features. The listed hematological parameters do not provide sufficient specificity or sensitivity for screening this condition."
3B81.1,3B81,Postsurgical asplenia,"Key signals for assessing postsurgical asplenia, such as immunological markers (e.g., antibody levels, specific infections susceptibility) and clinical history of splenectomy, are missing. The available features do not provide sufficient information to screen for this condition."
3B81.2,3B81,Atrophy of spleen,"Atrophy of the spleen is often associated with underlying hematological conditions or systemic diseases, which typically require imaging studies (e.g., ultrasound, CT scan) or specific laboratory tests (e.g., splenic function tests, genetic markers) for diagnosis. The available NHANES features do not include any imaging or specific tests that would provide sufficient diagnostic signals for screening or likelihood assessment of splenic atrophy."
3B81.3,3B81,Nontraumatic laceration or rupture of spleen,"Key signals such as imaging studies (e.g., ultrasound or CT scan) to identify splenic laceration or rupture are missing, which are essential for screening this condition."
3B81.4,3B81,Splenosis,"Key signals for splenosis, such as imaging studies (e.g., ultrasound, CT scan) to identify ectopic splenic tissue, are not available. Additionally, specific laboratory tests that could indicate splenic function or dysfunction are also missing."
3B81.5,3B81,Splenic cyst or pseudocyst,"Key imaging features (e.g., ultrasound or CT scans) necessary for diagnosing splenic cysts or pseudocysts are not available in the listed NHANES features."
3B81.50,3B81,Pseudocyst of spleen,"Key imaging features (e.g., ultrasound or CT scan) necessary for diagnosing splenic pseudocysts are not available, making screening infeasible."
3B81.51,3B81,Epithelial cyst of spleen,"Epithelial cysts of the spleen typically require imaging studies (e.g., ultrasound, CT scan) for diagnosis, which are not included in the available NHANES features. The listed features primarily assess hematological and biochemical parameters, which do not provide the necessary information for screening or likelihood assessment of this specific condition."
3B81.5Y,3B81,Other specified splenic cyst,"Key imaging features (e.g., ultrasound or CT scans) necessary for diagnosing splenic cysts are missing, as well as specific laboratory markers that could indicate splenic pathology."
3B81.5Z,3B81,"(Splenic cyst, unspecified)","Key imaging features or specific markers for splenic cysts are missing; available features primarily assess hematological parameters and general health, which do not provide sufficient information for screening or likelihood assessment of splenic cysts."
3B81.6,3B81,Infarction of spleen,"Key signals for screening splenic infarction, such as imaging studies (ultrasound, CT) or specific markers of splenic function and blood flow, are missing. The available hematological features do not provide sufficient information to assess the likelihood of splenic infarction."
3B81.8,3B81,Torsion of spleen,"Torsion of the spleen typically requires imaging studies (e.g., ultrasound, CT scan) for diagnosis, which are not included in the available features. The listed features primarily assess hematological and biochemical parameters, which are insufficient for screening or assessing the likelihood of splenic torsion."
3B81.9,3B81,Fibrosis of spleen,"Key signals for screening fibrosis of the spleen, such as imaging studies (e.g., ultrasound, CT scan) or specific biomarkers (e.g., liver function tests indicating portal hypertension), are not available in the listed features."
3B81.A,3B81,Perisplenitis,"Perisplenitis typically requires imaging studies (e.g., ultrasound or CT scan) to assess splenic inflammation or enlargement, which are not available in the listed features. Additionally, specific clinical symptoms and laboratory tests related to splenic function or infection markers are also missing."
3B81.C,3B81,Chronic congestive splenomegaly,"Chronic congestive splenomegaly requires imaging studies (e.g., ultrasound, CT) or specific biomarkers (e.g., liver function tests, portal hypertension indicators) to assess splenic size and function, which are not available in the listed features."
3B81.Y,3B81,Other specified acquired disorders of spleen,"Key signals for assessing splenic disorders, such as imaging studies (ultrasound, CT), and specific laboratory tests (e.g., platelet counts, LDH, and specific markers of hemolysis or hypersplenism) are missing. The available features do not provide sufficient information to screen for acquired disorders of the spleen."
