code,parent_code,name,medical_reasoning
3A21.0,3A21,Paroxysmal nocturnal haemoglobinuria,"Key diagnostic features for Paroxysmal nocturnal hemoglobinuria (PNH) such as flow cytometry for CD55 and CD59 expression on red blood cells, and tests for hemolysis (e.g., haptoglobin, LDH) are not available. The listed features do not provide sufficient information to screen or assess likelihood for PNH."
3A50.4,3A50,Hereditary persistence of fetal haemoglobin,"Key signals for screening hereditary persistence of fetal hemoglobin, such as specific hemoglobin electrophoresis results or genetic testing for HBF persistence, are not available in the listed features."
3A51.0,3A51,Sickle cell trait,"Sickle cell trait screening typically requires hemoglobin electrophoresis or genetic testing to identify the presence of the HbS allele, which are not included in the available features. The listed hematological parameters alone do not provide sufficient specificity or sensitivity for screening."
3A51.3,3A51,Compound heterozygous sickling disorders without crisis,"Key signals for screening compound heterozygous sickling disorders, such as hemoglobin electrophoresis or genetic testing for sickle cell mutations, are missing. The available features do not provide sufficient specificity or sensitivity for this condition."
3A51.4,3A51,Compound heterozygous sickling disorders with crisis,"Key signals for screening compound heterozygous sickling disorders, such as hemoglobin electrophoresis or genetic testing for sickle cell mutations, are missing. The available features do not provide sufficient specificity or sensitivity for effective screening."
3A60.0,3A60,Congenital non-inherited pure red cell aplasia,"Key signals for screening congenital non-inherited pure red cell aplasia, such as specific genetic markers or bone marrow examination results, are missing. The available features do not provide sufficient information to assess red cell production or the underlying causes of aplasia."
3A60.1,3A60,Hereditary pure red cell aplasia,"Key signals for hereditary pure red cell aplasia, such as specific genetic markers or direct measures of erythropoiesis (e.g., reticulocyte count, erythropoietin levels), are missing. The available features do not provide sufficient information to screen or assess likelihood effectively."
3A72.01,3A72,Hereditary syndromic sideroblastic anaemia,"Key signals for hereditary syndromic sideroblastic anemia, such as specific iron studies (e.g., serum ferritin, transferrin saturation), genetic testing for mutations, and bone marrow examination for ringed sideroblasts, are missing."
3A91,3A91,Congenital methaemoglobinaemia,"Key signals for congenital methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features."
3A92,3A92,Hereditary methaemoglobinaemia,"Key signals for hereditary methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features."
3A93,3A93,Acquired methaemoglobinaemia,"Acquired methaemoglobinaemia requires specific measurements of methemoglobin levels or related biomarkers, which are not included in the available features."
3B10.0,3B10,Haemophilia A,"Key signals for screening Haemophilia A, such as factor VIII activity levels or specific genetic testing for mutations in the F8 gene, are not included in the available features."
3B10.1,3B10,Hereditary factor VIII deficiency with anti-factor VIII inhibitor,"Key signals for screening hereditary factor VIII deficiency with anti-factor VIII inhibitor, such as specific factor VIII activity assays and inhibitor testing, are not available in the listed features."
3B10.Y,3B10,Other specified hereditary factor VIII deficiency,"Key signals for screening hereditary factor VIII deficiency, such as specific factor VIII activity assays or genetic testing for mutations in the F8 gene, are not included in the available features."
3B10.Z,3B10,"(Hereditary factor VIII deficiency, unspecified)","Key signals for screening hereditary factor VIII deficiency, such as specific coagulation factor assays (e.g., factor VIII activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening."
3B11.0,3B11,Haemophilia B,"Key signals for screening Haemophilia B, such as specific factor IX activity levels or genetic testing for mutations in the F9 gene, are not available in the listed features."
3B11.Y,3B11,Other specified hereditary factor IX deficiency,"Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening."
3B11.Z,3B11,"(Hereditary factor IX deficiency, unspecified)","Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic testing necessary for effective screening."
3B12,3B12,Von Willebrand disease,"Key diagnostic features for Von Willebrand disease, such as von Willebrand factor levels and specific platelet function tests, are not included in the available features."
3B13,3B13,Haemophilia C,"Key signals for screening Haemophilia C, such as specific coagulation factor assays (e.g., factor XI levels) and genetic testing for mutations in the F11 gene, are not available in the listed features."
3B14.0,3B14,Hereditary deficiency of factor I,"Key signals for screening hereditary deficiency of factor I, such as specific coagulation factor assays (e.g., factor I levels) and genetic testing, are not available in the listed features."
3B14.1,3B14,Hereditary factor X deficiency,"Key signals for screening hereditary factor X deficiency, such as specific coagulation factor assays (e.g., factor X activity), are missing. The available features do not include relevant hematological parameters or coagulation tests necessary for assessing this deficiency."
3B14.2,3B14,Combined deficiency of vitamin K-dependent clotting factors,"Key signals for screening combined deficiency of vitamin K-dependent clotting factors, such as prothrombin time (PT) and specific vitamin K levels, are missing. The available features do not include coagulation parameters necessary for assessing this condition."
3B14.Z,3B14,"(Other inherited coagulation factor deficiency with bleeding tendency, unspecified)","Key signals for screening inherited coagulation factor deficiencies, such as specific factor assays (e.g., Factor VIII, Factor IX levels) and genetic testing, are missing. The available features do not provide sufficient information to assess bleeding tendencies related to coagulation factor deficiencies."
3B15,3B15,Inherited coagulation factor deficiency without bleeding tendency,"Key signals for screening inherited coagulation factor deficiencies, such as specific factor assays (e.g., factor VIII, factor IX levels) and genetic testing, are missing. The available features do not provide the necessary information to assess coagulation factor levels or bleeding tendencies."
3B21.0,3B21,Haemorrhage due to thrombin inhibitor other than heparin,"Key signals such as specific coagulation parameters (e.g., thrombin time, anti-Xa levels) and clinical history of anticoagulant use are missing, which are essential for screening hemorrhage due to thrombin inhibitors."
3B21.1,3B21,Haemorrhage due to factor Xa inhibitor,"Key signals for screening hemorrhage due to factor Xa inhibitors, such as specific coagulation tests (e.g., anti-Xa levels, PT/INR), are missing. The available features do not provide sufficient information to assess bleeding risk or anticoagulation status."
3B21.Y,3B21,Haemorrhagic disorder due to other specified circulating anticoagulants,"Key signals such as specific coagulation factor levels, circulating anticoagulants, or relevant genetic markers are missing, which are essential for screening hemorrhagic disorders due to circulating anticoagulants."
3B21.Z,3B21,Haemorrhagic disorder due to unspecified circulating anticoagulants,"Key signals for screening hemorrhagic disorders due to circulating anticoagulants, such as specific coagulation tests (e.g., PT, aPTT, specific inhibitors), are missing. The available features do not provide sufficient information to assess bleeding risk or anticoagulant presence."
3B22,3B22,Acquired haemophilia,"Acquired hemophilia is characterized by the presence of inhibitors against clotting factors, particularly factor VIII. Key features for screening include specific assays for factor levels and inhibitor presence (e.g., aPTT, factor VIII activity, and inhibitor assays), which are not available in the listed NHANES features."
3B2Y,3B2Y,Other specified haemorrhagic diseases due to acquired coagulation factor defects,"Essential signals for screening acquired coagulation factor defects, such as specific coagulation factor levels (e.g., Factor VIII, IX) and functional assays (e.g., PT, aPTT), are missing from the available features."
3B50.0,3B50,Congenital alpha-2 antiplasmin deficiency,"Key signals for screening congenital alpha-2 antiplasmin deficiency, such as specific functional assays for alpha-2 antiplasmin levels or genetic testing, are not available in the listed features."
3B50.1,3B50,Congenital plasminogen activator inhibitor type 1 deficiency,"Key signals for screening congenital plasminogen activator inhibitor type 1 deficiency, such as specific coagulation factor assays (e.g., plasminogen levels, PAI-1 activity), are missing. The available features do not provide the necessary information to assess this condition."
3B50.Y,3B50,Other specified inherited fibrinolytic defects,"Key signals for inherited fibrinolytic defects, such as specific fibrinogen levels, plasminogen activity, or D-dimer levels, are not included in the available features."
3B50.Z,3B50,"(Inherited fibrinolytic defects, unspecified)","Inherited fibrinolytic defects require specific assays to evaluate fibrinolytic activity, such as plasminogen levels, fibrinogen degradation products, or specific clotting factor assays, which are not included in the available features."
3B51,3B51,Acquired fibrinolytic defects,"Acquired fibrinolytic defects require specific markers of fibrinolysis (e.g., D-dimer levels, fibrinogen levels) and possibly functional assays to assess fibrinolytic activity, which are not included in the available features."
3B60.0,3B60,Hereditary vascular purpura,"Key signals for hereditary vascular purpura, such as specific genetic markers or tests for von Willebrand factor levels and function, are not included in the available features."
3B60.1,3B60,Acquired vascular purpura,"Acquired vascular purpura requires specific assessments of coagulation factors, platelet function, and possibly imaging studies to evaluate vascular integrity, none of which are available in the listed NHANES features."
3B61.0,3B61,Hereditary thrombophilia,"Key signals for hereditary thrombophilia, such as genetic testing for specific mutations (e.g., Factor V Leiden, Prothrombin G20210A), are not available in the listed features. Additionally, relevant coagulation parameters (e.g., activated protein C resistance, antiphospholipid antibodies) are also missing, which are essential for screening this condition."
3B61.00,3B61,Hyperhomocysteinaemia,"Hyperhomocysteinaemia is primarily assessed through serum homocysteine levels, which are not included in the available NHANES features. Other relevant factors such as vitamin B12 and folate levels, which influence homocysteine metabolism, are also missing."
3B61.0Y,3B61,Other specified hereditary thrombophilia,"Key signals for hereditary thrombophilia, such as genetic markers (e.g., factor V Leiden, prothrombin mutation) and specific coagulation tests (e.g., protein C, protein S, antithrombin levels), are missing from the available features."
3B61.0Z,3B61,"(Hereditary thrombophilia, unspecified)","Key signals for hereditary thrombophilia, such as genetic testing for factor mutations (e.g., Factor V Leiden, prothrombin gene mutation) and specific coagulation studies (e.g., protein C, protein S, antithrombin levels), are missing. The available features do not provide the necessary information to assess thrombophilia risk."
3B61.1,3B61,Acquired thrombophilia,"Key signals for acquired thrombophilia, such as specific coagulation factor levels (e.g., antiphospholipid antibodies, protein C, protein S, and antithrombin), are missing. The available features do not provide sufficient information to assess the likelihood of this condition."
3B61.Y,3B61,Other specified thrombophilia,"Key signals for thrombophilia screening, such as genetic markers (e.g., Factor V Leiden, prothrombin mutation) and specific coagulation tests (e.g., antiphospholipid antibodies, protein C/S levels), are missing from the available features."
3B61.Z,3B61,"(Thrombophilia, unspecified)","Key signals for thrombophilia screening, such as genetic markers (e.g., Factor V Leiden, Prothrombin mutation) and specific coagulation tests (e.g., antiphospholipid antibodies, protein C/S levels), are missing from the available features."
3B62.00,3B62,Alpha-granule diseases,"Alpha-granule diseases require specific markers related to platelet function and granule content, which are not included in the available features. Key missing features include platelet function assays and specific granule content measurements."
3B62.1,3B62,Bleeding diathesis due to thromboxane synthesis deficiency,"Key signals for screening bleeding diathesis due to thromboxane synthesis deficiency, such as platelet function tests (e.g., platelet aggregation studies) and thromboxane levels, are not available in the listed features."
3B62.3,3B62,Dense granule disease,"Dense granule disease is a type of platelet storage pool disorder, which typically requires specific tests such as platelet function assays or genetic testing for confirmation. The available NHANES features do not include any specific markers or tests for platelet function or granule content, making screening for this condition not feasible."
3B62.4,3B62,Alpha-delta dense granule deficiency,"Alpha-delta dense granule deficiency is characterized by specific platelet function abnormalities and granule content analysis, which require specialized tests such as platelet aggregation studies and electron microscopy. The available NHANES features do not include any measures of platelet granule content or function, making screening for this condition not feasible."
3B64.13,3B64,Alloimmune thrombocytopenia,"Alloimmune thrombocytopenia requires specific tests for platelet antibodies or HLA typing, which are not included in the available features. The listed features do not provide sufficient hematological signals to screen for this condition effectively."
3B64.14,3B64,Thrombotic thrombocytopenic purpura,"Key diagnostic features for thrombotic thrombocytopenic purpura (TTP) such as ADAMTS13 activity and inhibitor levels are missing. While platelet count and LDH levels can provide some information, they are insufficient for a reliable screening or likelihood assessment of TTP."
3B65,3B65,"(Thrombotic microangiopathy, not elsewhere classified)","Key signals for thrombotic microangiopathy, such as ADAMTS13 activity, specific markers of hemolysis (e.g., haptoglobin, schistocytes), and renal function indicators (e.g., creatinine clearance) are missing. The available features do not provide sufficient information to screen or assess likelihood effectively."
3B6Y,3B6Y,"(Other specified coagulation defects, purpura or other haemorrhagic or related conditions)","Key signals for screening coagulation defects, such as specific coagulation factor levels (e.g., factor VIII, factor IX), platelet function tests, or genetic markers, are missing. The available features do not provide sufficient information to assess coagulation status or bleeding risk."
3B80.0,3B80,Splenomegaly in storage diseases,"Key signals for screening splenomegaly in storage diseases, such as imaging studies (ultrasound, CT) or specific biomarkers related to storage diseases (e.g., enzyme levels, genetic markers), are missing. The available hematological features do not provide sufficient specificity or sensitivity for this condition."
3B81.0,3B81,Tumour-like conditions of spleen,"Tumour-like conditions of the spleen typically require imaging studies (e.g., ultrasound, CT scan) or histological examination for diagnosis, which are not available in the listed NHANES features. The available hematological parameters do not provide sufficient specificity or sensitivity for screening this condition."
3B81.1,3B81,Postsurgical asplenia,"Key signals for assessing postsurgical asplenia, such as immunological markers (e.g., antibody levels, specific infections susceptibility) and clinical history of splenectomy, are missing. The available hematological features do not provide sufficient information to screen for this condition."
3B81.2,3B81,Atrophy of spleen,"Atrophy of the spleen is typically assessed through imaging studies (e.g., ultrasound, CT scan) and may involve specific laboratory tests for underlying causes (e.g., autoimmune markers, infections). The available NHANES features do not include imaging or specific markers that would indicate splenic atrophy, making screening not feasible."
3B81.3,3B81,Nontraumatic laceration or rupture of spleen,"Key signals such as imaging studies (e.g., ultrasound or CT scan) to identify splenic laceration or rupture are missing, as well as clinical history and physical examination findings that are critical for diagnosis."
3B81.4,3B81,Splenosis,"Splenosis typically requires imaging studies (e.g., ultrasound, CT scan) or surgical findings for diagnosis, which are not available in the listed NHANES features. The available hematological parameters do not provide sufficient diagnostic signals for screening or likelihood assessment of splenosis."
3B81.5,3B81,Splenic cyst or pseudocyst,"Key imaging features (e.g., ultrasound or CT scans) necessary for diagnosing splenic cysts or pseudocysts are not available in the listed NHANES features."
3B81.50,3B81,Pseudocyst of spleen,"Key imaging studies (e.g., ultrasound or CT scan) and clinical history are essential for diagnosing splenic pseudocysts, which are not represented in the available features."
3B81.51,3B81,Epithelial cyst of spleen,"Epithelial cysts of the spleen typically require imaging studies (e.g., ultrasound, CT scan) for diagnosis, which are not included in the available NHANES features. The listed features do not provide sufficient information to screen or assess the likelihood of this condition."
3B81.5Y,3B81,Other specified splenic cyst,"Essential imaging studies (e.g., ultrasound or CT scan) to identify and characterize splenic cysts are not included in the available features, making screening for this condition unfeasible."
3B81.5Z,3B81,"(Splenic cyst, unspecified)",Key imaging features or specific markers for splenic cysts are missing; available features do not provide sufficient diagnostic information to screen for splenic cysts.
3B81.6,3B81,Infarction of spleen,"Key signals for screening splenic infarction, such as imaging studies (e.g., ultrasound, CT scan) and specific clinical history (e.g., sickle cell disease, thrombosis), are missing. The available hematological features do not provide sufficient specificity or sensitivity to effectively screen for splenic infarction."
3B81.71,3B81,Abscess of spleen,"Key diagnostic features such as imaging studies (e.g., ultrasound or CT scan) to visualize the spleen and confirm the presence of an abscess are missing. Additionally, specific laboratory tests for infection or inflammation (e.g., cultures, specific inflammatory markers) are not included, which are essential for screening this condition."
3B81.8,3B81,Torsion of spleen,"Torsion of the spleen typically requires imaging studies (e.g., ultrasound, CT scan) for diagnosis, which are not included in the available features. The listed features primarily assess hematological and biochemical parameters, which are insufficient for screening or assessing the likelihood of splenic torsion."
3B81.9,3B81,Fibrosis of spleen,"Key signals for screening fibrosis of the spleen, such as imaging studies (e.g., ultrasound, CT scan) or specific biomarkers (e.g., liver function tests indicating portal hypertension), are missing. The available hematological features do not provide sufficient information to assess splenic fibrosis."
3B81.A,3B81,Perisplenitis,"Perisplenitis typically requires imaging studies (e.g., ultrasound or CT scan) to assess splenic inflammation or enlargement, which are not available in the listed features. Additionally, specific clinical symptoms and laboratory tests related to splenic function or infection are also missing."
3B81.C,3B81,Chronic congestive splenomegaly,"Chronic congestive splenomegaly requires imaging studies (e.g., ultrasound, CT) or specific biomarkers (e.g., portal hypertension indicators) to assess splenic size and function, which are not available in the listed features."
3B81.Y,3B81,Other specified acquired disorders of spleen,"Key signals such as imaging studies (e.g., ultrasound or CT scan) to assess spleen size and morphology, or specific laboratory tests for splenic function and disorders (e.g., specific markers for hypersplenism or splenic sequestration) are missing."
